HOURS,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY
8:00,,,,DS LAB:CSED19,COMPUTER GRAPHICS:CSED5
8:50,,DS:CSED10,DS:CSED10,,MICROPROCESSOR:CSED17
9:40,,THEORY OF COMPUTATION:CSED13,OPTIMIZATION TECHNIQUES:TIETSOM2,MICROPROCESSOR:CSED11,THEORY OF COMPUTATION:CSED13
10:30,,MICROPROCESSOR:CSED20,INNOVATION:CSED18,NLP LAB:CSED24,THEORY OF COMPUTATION Tute:CSED15
11:20,,OPTIMIZATION TECHNIQUES:TIETSOM5,,,
12:10,,NLP:CSED14,,COMPUTER GRAPHICS:CSED7,
13:00,,,,,
13:50,OPTIMIZATION TECHNIQUES:TIETSOM6,,,MICROPROCESSOR LAB:CSED17,
14:40,COMPUTER GRAPHICS:CSED5,,,,
15:30,THEORY OF COMPUTATION:CSED11,,,COMPUTER GRAPHICS LAB:CSED14,
16:20,NLP:CSED14,OPTIMIZATION TECHNIQUES LAB:TIETSOM6,,,

